date,country,position,streams,track_id,artists,artist_genres,duration,explicit,name
10/6/2013,de,34,142799,3xWEG7EiwrFhx5IBtN8YEM,['Casper'],"['german alternative rap', 'german hip hop', 'german pop']",268373,FALSE,20qm
12/24/2015,cz,180,4971,5Thza83zbkoIupxDHf9kmq,['Václav Neckář'],"['classic czech pop', 'czech pop', 'czech rock', 'czech folk']",303893,FALSE,Půlnoční
7/1/2021,global,47,11380679,5fbHRCsGpFIOLRtlhCRFDR,"['Tyler, The Creator', '42 Dugg']","['detroit trap', 'trap', 'hip hop', 'rap']",130979,TRUE,LEMONHEAD (feat. 42 Dugg)
7/21/2022,fr,128,381260,6i9JtGfEJmQuz2aftQsgT1,"['Digga D', 'Timal', 'Art de rue']","['pop urbaine', 'francoton', 'london rap', 'aussie drill', 'french hip hop', 'rap francais', 'melodic drill']",180700,TRUE,Frenches
9/21/2017,fi,48,166185,1fKFYEuzxhiaX0EzSP46Q8,['Kaija Koo'],"['finnish pop', 'finnish dance pop', 'iskelma', 'suomi rock', 'classic iskelma']",195480,FALSE,Tanssii kuin John Travolta - Vain elämää kausi 7
1/23/2020,global,137,6511851,4yJiXq86uM56uIfIZgE440,['blackbear'],"['pop rap', 'pop']",200400,TRUE,me & ur ghost
3/18/2021,ee,153,4899,7h4Icx7CMDbNzHQ3k2oE1T,['Rita Ray'],['estonian pop'],247000,FALSE,Love Ain't The Same
5/17/2018,us,111,2078478,3K6U7TamNyVSWcFH8pCQHX,"['Playboi Carti', 'Travis Scott']","['slap house', 'plugg', 'atl hip hop', 'pluggnb', 'rap']",180560,TRUE,Love Hurts (feat. Travis Scott)
5/16/2019,pa,174,10322,08kd8U7DnW5wA6w0hwmADT,['Dalex'],"['r&b en espanol', 'reggaeton', 'trap latino']",194294,FALSE,Se Te Olvidé
3/24/2016,pt,154,10490,3I0w0pdn5s2W44gGmBxsa0,['Capitão Fausto'],"['portuguese indie rock', 'portuguese rock', 'portuguese indie']",206733,FALSE,Amanhã Tou Melhor
1/19/2014,global,32,1757240,7o1Pm9jpH0wFpN5g793Lnq,"['Shakira', 'Rihanna']","['colombian pop', 'pop', 'urban contemporary', 'barbadian pop', 'latin pop', 'dance pop']",206866,FALSE,Can't Remember to Forget You (feat. Rihanna)
3/23/2023,global,93,10530662,2UW7JaomAMuX9pZrjVpHAU,"['Yng Lvcas', 'Peso Pluma']","['sad sierreno', 'urbano mexicano', 'urbano latino']",234352,TRUE,La Bebe - Remix
4/30/2015,ar,221,6284,7b86mQCIVKpdqGRHum0neh,['Los Totora'],['cumbia pop'],189160,FALSE,Me da igual
12/1/2016,is,160,4736,7coRGYRwk5QshFXCQfrt64,['Emmsjé Gauti'],"['icelandic hip hop', 'icelandic pop']",188078,FALSE,Skinn í skinn
11/12/2015,mx,162,137350,6q9yrX559lgdFQwq4nZ4v0,"['Yandel', 'Pitbull']","['dance pop', 'reggaeton', 'trap latino', 'pop rap', 'miami hip hop', 'reggaeton flow', 'pop', 'latin hip hop']",233053,FALSE,Asesina (feat. Pitbull)
11/2/2014,lt,102,2468,6IrDJ34HekKeUZKoAGHatt,['Ten Hands'],[],55636,FALSE,Tabajaras Sound
1/24/2019,fr,116,319427,3FXOz0aBCHxCRB48yGHBB9,['DA Uzi'],"['rap francais', 'pop urbaine', 'french hip hop']",205786,TRUE,Cicatrices
12/17/2020,pl,181,144657,3gyojTlwUtdSpLrvZBKV5e,"['Kali', 'Major SPZ', 'Sir Mich', 'PlanBe']","['polish trap', 'rap uliczny', 'polish hip hop', 'polish alternative rap']",166669,FALSE,California
8/22/2019,ch,170,36961,3EyFXjqCYYe06s6bdJACRr,['Mimiks'],"['swiss hip hop', 'mundart', 'swiss indie', 'schweizer rap']",472112,FALSE,Für immer niemer
8/29/2019,lu,49,4764,3V0B5HqVqDCbf5XgtiADNT,"['Danny Wolf', 'Lil Pump']","['rap', 'viral rap', 'trap', 'miami hip hop', 'emo rap', 'melodic rap', 'vapor trap']",118783,TRUE,Never Stop (feat. Lil Pump)
12/16/2021,global,133,6828669,7FAND3cHMvepHjpBp8gOZ9,['Juice WRLD'],"['melodic rap', 'chicago rap']",134688,TRUE,Go Hard
5/28/2020,fi,21,166963,0IKFbZlqANedfw5oiNsEK2,['Devo'],[],152326,FALSE,Christian Rapper
9/1/2016,se,42,460810,2K6ZdFYngMVzTFiNQhBzM4,['Håkan Hellström'],"['classic swedish pop', 'gothenburg indie', 'swedish pop', 'swedish indie rock']",244995,FALSE,Jag utan dig
11/1/2018,th,178,18417,04UELvBbAwInwFX9eF6Ckt,['Better Weather'],['thai pop'],258275,FALSE,ไม่เกี่ยวเลย
4/1/2021,cz,177,31575,4GhsOpSqEzzKsfhFcY1h6V,['Tři Sestry'],"['czech rock', 'czech punk']",296973,TRUE,Modlitba pro partu
